# Structural comparison of ru/userGuide.t2t against ru/userGuide-newRevisions/13298/userGuide.t2t
ru 8.2.4. start:657 paragraphs:1, tables:0, lists:0
en 8.2.5. start:661 paragraphs:1, tables:0, lists:0
ru 8.2.5. start:663 paragraphs:1, tables:0, lists:0
en 8.3. start:667 paragraphs:0, tables:1, lists:0
ru 8.3. start:669 paragraphs:0, tables:1, lists:0
en 8.4. start:673 paragraphs:1, tables:1, lists:0
ru 8.4. start:675 paragraphs:1, tables:1, lists:0
en 8.5. start:681 paragraphs:0, tables:1, lists:0
ru 8.5. start:683 paragraphs:0, tables:1, lists:0
en 8.6. start:687 paragraphs:0, tables:1, lists:0
ru 8.6. start:689 paragraphs:0, tables:1, lists:0
en 8.7. start:694 paragraphs:1, tables:1, lists:0
ru 8.7. start:696 paragraphs:1, tables:1, lists:0
en 8.8. start:701 paragraphs:3, tables:0, lists:0
ru 8.8. start:703 paragraphs:3, tables:0, lists:0
en 8.8.1. start:715 paragraphs:1, tables:0, lists:0
ru 8.8.1. start:717 paragraphs:1, tables:0, lists:0
en 8.8.2. start:723 paragraphs:3, tables:0, lists:1
ru 8.8.2. start:725 paragraphs:3, tables:0, lists:1
en 9. start:737 paragraphs:0, tables:0, lists:0
ru 9. start:739 paragraphs:0, tables:0, lists:0
en 9.1. start:739 paragraphs:2, tables:0, lists:0
ru 9.1. start:741 paragraphs:2, tables:0, lists:0
en 9.1.1. start:749 paragraphs:11, tables:0, lists:0
ru 9.1.1. start:751 paragraphs:11, tables:0, lists:0
en 9.1.2. start:795 paragraphs:8, tables:0, lists:1
ru 9.1.2. start:797 paragraphs:8, tables:0, lists:1
en 9.1.3. start:824 paragraphs:18, tables:0, lists:0
ru 9.1.3. start:826 paragraphs:18, tables:0, lists:0
en 9.1.4. start:899 paragraphs:1, tables:1, lists:0
ru 9.1.4. start:901 paragraphs:1, tables:1, lists:0
en 9.1.5. start:909 paragraphs:23, tables:0, lists:0
ru 9.1.5. start:911 paragraphs:23, tables:0, lists:0
en 9.1.6. start:995 paragraphs:18, tables:0, lists:0
ru 9.1.6. start:997 paragraphs:18, tables:0, lists:0
en 9.1.7. start:1055 paragraphs:8, tables:0, lists:0
ru 9.1.7. start:1057 paragraphs:8, tables:0, lists:0
en 9.1.8. start:1085 paragraphs:8, tables:0, lists:0
ru 9.1.8. start:1087 paragraphs:8, tables:0, lists:0
en 9.1.9. start:1109 paragraphs:14, tables:0, lists:1
ru 9.1.9. start:1111 paragraphs:14, tables:0, lists:1
en 9.1.10. start:1159 paragraphs:6, tables:0, lists:0
ru 9.1.10. start:1161 paragraphs:6, tables:0, lists:0
en 9.1.11. start:1190 paragraphs:13, tables:0, lists:0
ru 9.1.11. start:1192 paragraphs:13, tables:0, lists:0
en 9.1.12. start:1236 paragraphs:8, tables:0, lists:2
ru 9.1.12. start:1238 paragraphs:8, tables:0, lists:2
en 9.1.13. start:1299 paragraphs:8, tables:0, lists:1
ru 9.1.13. start:1301 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1333 paragraphs:6, tables:0, lists:1
ru 9.1.14. start:1335 paragraphs:6, tables:0, lists:1
en 9.1.15. start:1362 paragraphs:6, tables:0, lists:0
ru 9.1.15. start:1364 paragraphs:6, tables:0, lists:0
en 9.2. start:1382 paragraphs:3, tables:1, lists:0
ru 9.2. start:1384 paragraphs:3, tables:1, lists:0
en 9.3. start:1397 paragraphs:3, tables:0, lists:0
ru 9.3. start:1399 paragraphs:3, tables:0, lists:0
en 9.3.1. start:1408 paragraphs:4, tables:0, lists:1
ru 9.3.1. start:1410 paragraphs:4, tables:0, lists:1
en 9.3.2. start:1424 paragraphs:3, tables:0, lists:0
ru 9.3.2. start:1426 paragraphs:3, tables:0, lists:0
en 9.3.3. start:1436 paragraphs:1, tables:0, lists:0
ru 9.3.3. start:1438 paragraphs:1, tables:0, lists:0
en 9.3.4. start:1444 paragraphs:4, tables:0, lists:1
ru 9.3.4. start:1446 paragraphs:4, tables:0, lists:1
en 9.3.5. start:1457 paragraphs:2, tables:0, lists:0
ru 9.3.5. start:1459 paragraphs:2, tables:0, lists:0
en 9.3.6. start:1465 paragraphs:1, tables:0, lists:0
ru 9.3.6. start:1467 paragraphs:1, tables:0, lists:0
en 9.4. start:1470 paragraphs:3, tables:0, lists:0
ru 9.4. start:1472 paragraphs:3, tables:0, lists:0
en 10. start:1481 paragraphs:0, tables:0, lists:0
ru 10. start:1483 paragraphs:0, tables:0, lists:0
en 10.1. start:1483 paragraphs:2, tables:0, lists:0
ru 10.1. start:1485 paragraphs:2, tables:0, lists:0
en 10.2. start:1489 paragraphs:5, tables:0, lists:0
ru 10.2. start:1491 paragraphs:5, tables:0, lists:0
en 10.3. start:1504 paragraphs:10, tables:0, lists:0
ru 10.3. start:1506 paragraphs:10, tables:0, lists:0
en 10.4. start:1546 paragraphs:1, tables:0, lists:0
ru 10.4. start:1548 paragraphs:1, tables:0, lists:0
en 10.5. start:1550 paragraphs:1, tables:0, lists:0
ru 10.5. start:1552 paragraphs:1, tables:0, lists:0
en 11. start:1553 paragraphs:1, tables:0, lists:0
ru 11. start:1555 paragraphs:1, tables:0, lists:0
en 11.1. start:1557 paragraphs:3, tables:0, lists:0
ru 11.1. start:1559 paragraphs:3, tables:0, lists:0
en 11.2. start:1567 paragraphs:2, tables:0, lists:0
ru 11.2. start:1569 paragraphs:2, tables:0, lists:0
en 11.3. start:1574 paragraphs:1, tables:0, lists:0
ru 11.3. start:1576 paragraphs:1, tables:0, lists:0
en 11.4. start:1579 paragraphs:2, tables:0, lists:1
ru 11.4. start:1581 paragraphs:2, tables:0, lists:1
en 11.5. start:1592 paragraphs:2, tables:0, lists:0
ru 11.5. start:1594 paragraphs:3, tables:0, lists:0
en 11.6. start:1599 paragraphs:2, tables:0, lists:0
ru 11.6. start:1605 paragraphs:2, tables:0, lists:0
ru 11.7. start:1612 paragraphs:2, tables:0, lists:0
en 12. start:1607 paragraphs:1, tables:0, lists:0
ru 12. start:1620 paragraphs:1, tables:0, lists:0
en 12.1. start:1610 paragraphs:5, tables:3, lists:0
ru 12.1. start:1623 paragraphs:5, tables:3, lists:0
en 12.2. start:1671 paragraphs:3, tables:1, lists:0
ru 12.2. start:1684 paragraphs:3, tables:1, lists:0
en 12.3. start:1715 paragraphs:3, tables:1, lists:0
ru 12.3. start:1728 paragraphs:3, tables:1, lists:0
en 12.4. start:1741 paragraphs:2, tables:1, lists:0
ru 12.4. start:1754 paragraphs:2, tables:1, lists:0
en 12.5. start:1761 paragraphs:6, tables:2, lists:1
ru 12.5. start:1774 paragraphs:6, tables:2, lists:1
en 12.6. start:1797 paragraphs:2, tables:1, lists:0
ru 12.6. start:1810 paragraphs:2, tables:1, lists:0
en 12.7. start:1814 paragraphs:2, tables:1, lists:0
ru 12.7. start:1827 paragraphs:2, tables:1, lists:0
en 12.8. start:1831 paragraphs:2, tables:1, lists:0
ru 12.8. start:1844 paragraphs:2, tables:1, lists:0
en 12.9. start:1862 paragraphs:2, tables:1, lists:0
ru 12.9. start:1875 paragraphs:2, tables:1, lists:0
en 12.10. start:1923 paragraphs:2, tables:1, lists:0
ru 12.10. start:1936 paragraphs:2, tables:1, lists:0
en 12.11. start:1936 paragraphs:2, tables:1, lists:0
ru 12.11. start:1949 paragraphs:2, tables:1, lists:0
en 12.12. start:1958 paragraphs:8, tables:3, lists:2
ru 12.12. start:1971 paragraphs:8, tables:3, lists:2
en 12.13. start:2041 paragraphs:8, tables:4, lists:1
ru 12.13. start:2054 paragraphs:8, tables:4, lists:1
en 12.14. start:2124 paragraphs:4, tables:1, lists:1
ru 12.14. start:2137 paragraphs:4, tables:1, lists:1
en 12.15. start:2172 paragraphs:3, tables:1, lists:1
ru 12.15. start:2185 paragraphs:3, tables:1, lists:1
en 12.16. start:2207 paragraphs:3, tables:1, lists:0
ru 12.16. start:2220 paragraphs:3, tables:1, lists:0
en 13. start:2227 paragraphs:2, tables:2, lists:0
ru 13. start:2240 paragraphs:2, tables:2, lists:0
en 14. start:2264 paragraphs:0, tables:0, lists:0
ru 14. start:2277 paragraphs:0, tables:0, lists:0
en 14.1. start:2266 paragraphs:6, tables:3, lists:0
ru 14.1. start:2279 paragraphs:6, tables:3, lists:0
en 15. start:2307 paragraphs:1, tables:0, lists:0
ru 15. start:2320 paragraphs:1, tables:0, lists:0
# end of comparison
