en 9.4. start:1000 paragraphs:1, tables:0, lists:0
pt_PT 9.5. start:983 paragraphs:1, tables:0, lists:0
en 9.5. start:1004 paragraphs:1, tables:0, lists:0
pt_PT 10. start:987 paragraphs:1, tables:0, lists:0
en 10. start:1007 paragraphs:1, tables:0, lists:0
pt_PT 10.1. start:992 paragraphs:3, tables:0, lists:0
en 10.1. start:1011 paragraphs:3, tables:0, lists:0
pt_PT 10.2. start:1002 paragraphs:2, tables:0, lists:0
en 10.2. start:1021 paragraphs:2, tables:0, lists:0
pt_PT 10.3. start:1009 paragraphs:1, tables:0, lists:0
en 10.3. start:1028 paragraphs:1, tables:0, lists:0
pt_PT 10.4. start:1014 paragraphs:2, tables:0, lists:1
en 10.4. start:1033 paragraphs:2, tables:0, lists:1
pt_PT 10.5. start:1027 paragraphs:1, tables:0, lists:0
en 10.5. start:1046 paragraphs:2, tables:0, lists:0
pt_PT 10.6. start:1032 paragraphs:1, tables:0, lists:0
en 10.6. start:1053 paragraphs:2, tables:0, lists:0
pt_PT 11. start:1036 paragraphs:1, tables:0, lists:0
en 11. start:1059 paragraphs:1, tables:0, lists:0
pt_PT 11.1. start:1039 paragraphs:2, tables:1, lists:0
en 11.1. start:1062 paragraphs:4, tables:3, lists:0
pt_PT 11.2. start:1059 paragraphs:2, tables:1, lists:0
en 11.2. start:1119 paragraphs:2, tables:1, lists:0
pt_PT 11.3. start:1088 paragraphs:2, tables:1, lists:0
en 11.3. start:1148 paragraphs:2, tables:1, lists:0
pt_PT 11.4. start:1113 paragraphs:2, tables:1, lists:0
en 11.4. start:1172 paragraphs:2, tables:1, lists:0
pt_PT 11.5. start:1133 paragraphs:5, tables:2, lists:1
en 11.5. start:1192 paragraphs:5, tables:2, lists:1
pt_PT 11.6. start:1164 paragraphs:2, tables:1, lists:0
en 11.6. start:1223 paragraphs:2, tables:1, lists:0
pt_PT 11.7. start:1181 paragraphs:2, tables:1, lists:0
en 11.7. start:1240 paragraphs:2, tables:1, lists:0
pt_PT 11.8. start:1211 paragraphs:2, tables:1, lists:0
en 11.8. start:1257 paragraphs:2, tables:1, lists:0
en 11.9. start:1287 paragraphs:2, tables:1, lists:0
en 11.10. start:1347 paragraphs:2, tables:1, lists:0
en 11.11. start:1360 paragraphs:2, tables:1, lists:0
en 11.12. start:1382 paragraphs:2, tables:1, lists:0
pt_PT 12. start:1229 paragraphs:0, tables:0, lists:0
en 12. start:1399 paragraphs:0, tables:0, lists:0
pt_PT 12.1. start:1231 paragraphs:16, tables:0, lists:2
en 12.1. start:1401 paragraphs:13, tables:0, lists:2
en 12.2. start:1466 paragraphs:2, tables:0, lists:0
en 13. start:1475 paragraphs:1, tables:0, lists:0
pt_PT 13. start:1304 paragraphs:1, tables:0, lists:0
