# Structural comparison of hu/userGuide.t2t against hu/userGuide-newRevisions/11913/userGuide.t2t
hu 1. start:10 paragraphs:0, tables:0, lists:0
hu 1.1. start:11 paragraphs:2, tables:0, lists:1
hu 1.2. start:31 paragraphs:1, tables:0, lists:0
hu 1.3. start:35 paragraphs:2, tables:0, lists:0
hu 1.4. start:41 paragraphs:1, tables:0, lists:0
hu 1.5. start:46 paragraphs:4, tables:0, lists:0
hu 2. start:57 paragraphs:0, tables:0, lists:1
hu 3. start:69 paragraphs:5, tables:0, lists:0
hu 3.1. start:82 paragraphs:1, tables:0, lists:1
hu 3.2. start:91 paragraphs:2, tables:0, lists:0
hu 3.2.1. start:97 paragraphs:1, tables:0, lists:0
hu 3.2.2. start:100 paragraphs:1, tables:0, lists:0
hu 3.2.3. start:104 paragraphs:1, tables:0, lists:0
hu 3.3. start:107 paragraphs:5, tables:0, lists:0
hu 4. start:118 paragraphs:0, tables:0, lists:0
hu 4.1. start:119 paragraphs:5, tables:0, lists:0
hu 4.2. start:132 paragraphs:0, tables:0, lists:0
hu 4.2.1. start:134 paragraphs:2, tables:0, lists:0
hu 4.2.2. start:140 paragraphs:2, tables:0, lists:0
hu 4.3. start:147 paragraphs:3, tables:0, lists:0
hu 4.3.1. start:155 paragraphs:3, tables:0, lists:0
hu 4.3.2. start:163 paragraphs:13, tables:0, lists:0
hu 4.3.3. start:195 paragraphs:6, tables:0, lists:0
hu 4.4. start:211 paragraphs:2, tables:0, lists:0
hu 4.5. start:217 paragraphs:4, tables:0, lists:0
hu 4.6. start:227 paragraphs:0, tables:1, lists:0
hu 4.7. start:240 paragraphs:0, tables:1, lists:0
hu 5. start:248 paragraphs:1, tables:0, lists:0
hu 5.1. start:252 paragraphs:1, tables:0, lists:0
hu 5.2. start:257 paragraphs:4, tables:1, lists:1
hu 5.3. start:278 paragraphs:5, tables:2, lists:0
hu 5.4. start:304 paragraphs:6, tables:1, lists:0
hu 5.5. start:338 paragraphs:8, tables:3, lists:0
hu 5.6. start:377 paragraphs:2, tables:1, lists:0
hu 5.6.1. start:388 paragraphs:1, tables:0, lists:0
hu 5.6.2. start:393 paragraphs:3, tables:0, lists:0
hu 5.6.3. start:402 paragraphs:3, tables:0, lists:0
hu 5.7. start:411 paragraphs:6, tables:1, lists:0
hu 6. start:435 paragraphs:4, tables:1, lists:0
hu 6.1. start:454 paragraphs:5, tables:1, lists:1
hu 6.2. start:497 paragraphs:1, tables:1, lists:0
hu 6.3. start:505 paragraphs:1, tables:1, lists:0
hu 7. start:514 paragraphs:3, tables:0, lists:1
hu 7.1. start:527 paragraphs:6, tables:1, lists:1
hu 8. start:550 paragraphs:1, tables:0, lists:0
hu 8.1. start:553 paragraphs:0, tables:0, lists:0
hu 8.1.1. start:555 paragraphs:2, tables:1, lists:0
hu 8.1.2. start:568 paragraphs:1, tables:0, lists:0
hu 8.1.2.1. start:575 paragraphs:1, tables:0, lists:0
hu 8.1.3. start:581 paragraphs:1, tables:0, lists:0
hu 8.2. start:587 paragraphs:0, tables:0, lists:0
hu 8.2.1. start:589 paragraphs:2, tables:1, lists:0
hu 8.2.2. start:603 paragraphs:1, tables:0, lists:1
hu 8.2.3. start:622 paragraphs:1, tables:0, lists:0
hu 8.2.4. start:629 paragraphs:1, tables:0, lists:0
hu 8.3. start:635 paragraphs:0, tables:1, lists:0
hu 8.4. start:641 paragraphs:1, tables:1, lists:0
hu 8.5. start:648 paragraphs:1, tables:1, lists:0
hu 8.6. start:655 paragraphs:0, tables:1, lists:0
hu 8.7. start:661 paragraphs:0, tables:1, lists:0
hu 9. start:668 paragraphs:0, tables:0, lists:0
hu 9.1. start:669 paragraphs:2, tables:0, lists:0
hu 9.1.1. start:676 paragraphs:11, tables:0, lists:0
hu 9.1.2. start:723 paragraphs:12, tables:0, lists:1
hu 9.1.3. start:759 paragraphs:19, tables:0, lists:0
hu 9.1.4. start:827 paragraphs:1, tables:1, lists:0
hu 9.1.5. start:838 paragraphs:20, tables:0, lists:0
hu 9.1.6. start:913 paragraphs:18, tables:0, lists:0
hu 9.1.7. start:976 paragraphs:9, tables:0, lists:1
hu 9.1.8. start:1015 paragraphs:7, tables:0, lists:0
hu 9.1.9. start:1037 paragraphs:13, tables:0, lists:1
hu 9.1.10. start:1088 paragraphs:6, tables:0, lists:0
hu 9.1.11. start:1119 paragraphs:9, tables:0, lists:0
hu 9.1.12. start:1154 paragraphs:4, tables:0, lists:1
hu 9.1.13. start:1188 paragraphs:5, tables:0, lists:1
hu 9.1.14. start:1204 paragraphs:16, tables:1, lists:1
