en 3.1. start:84 paragraphs:1, tables:0, lists:1
pt_BR 3.1. start:83 paragraphs:1, tables:0, lists:0
en 3.2. start:92 paragraphs:2, tables:0, lists:0
pt_BR 3.2. start:91 paragraphs:3, tables:0, lists:0
en 3.3. start:115 paragraphs:2, tables:0, lists:0
pt_BR 3.3. start:115 paragraphs:3, tables:0, lists:0
en 4. start:127 paragraphs:0, tables:0, lists:0
pt_BR 4. start:128 paragraphs:0, tables:0, lists:0
en 4.1. start:129 paragraphs:5, tables:0, lists:0
pt_BR 4.1. start:130 paragraphs:5, tables:0, lists:0
en 4.3.2. start:178 paragraphs:7, tables:0, lists:0
pt_BR 4.3.2. start:178 paragraphs:4, tables:0, lists:0
en 4.3.3. start:201 paragraphs:2, tables:0, lists:0
pt_BR 4.3.3. start:198 paragraphs:2, tables:0, lists:0
en 4.4. start:212 paragraphs:2, tables:0, lists:0
pt_BR 4.4. start:209 paragraphs:2, tables:0, lists:0
en 4.5. start:220 paragraphs:2, tables:0, lists:0
pt_BR 4.5. start:217 paragraphs:2, tables:0, lists:0
en 4.6. start:228 paragraphs:0, tables:1, lists:0
pt_BR 4.6. start:225 paragraphs:0, tables:1, lists:0
en 4.7. start:241 paragraphs:0, tables:1, lists:0
pt_BR 4.7. start:238 paragraphs:0, tables:1, lists:0
en 5. start:249 paragraphs:1, tables:0, lists:0
pt_BR 5. start:246 paragraphs:1, tables:0, lists:0
en 5.1. start:252 paragraphs:1, tables:0, lists:0
pt_BR 5.1. start:249 paragraphs:1, tables:0, lists:0
en 5.2. start:256 paragraphs:3, tables:1, lists:0
pt_BR 5.2. start:253 paragraphs:3, tables:1, lists:0
en 5.3. start:272 paragraphs:4, tables:2, lists:0
pt_BR 5.3. start:269 paragraphs:3, tables:2, lists:0
en 5.4. start:295 paragraphs:7, tables:1, lists:0
pt_BR 5.4. start:291 paragraphs:8, tables:1, lists:0
en 5.5. start:337 paragraphs:6, tables:2, lists:0
pt_BR 5.5. start:330 paragraphs:5, tables:2, lists:0
en 5.6. start:379 paragraphs:4, tables:1, lists:0
pt_BR 5.6. start:370 paragraphs:4, tables:1, lists:0
en 5.7. start:401 paragraphs:5, tables:1, lists:0
pt_BR 5.7. start:393 paragraphs:5, tables:1, lists:0
en 6. start:426 paragraphs:3, tables:1, lists:0
pt_BR 6. start:418 paragraphs:4, tables:1, lists:0
en 6.1. start:455 paragraphs:3, tables:1, lists:1
pt_BR 6.1. start:447 paragraphs:3, tables:1, lists:1
en 6.2. start:488 paragraphs:1, tables:1, lists:0
pt_BR 6.2. start:480 paragraphs:1, tables:1, lists:0
en 6.3. start:498 paragraphs:1, tables:1, lists:0
pt_BR 6.3. start:490 paragraphs:1, tables:1, lists:0
en 7. start:509 paragraphs:1, tables:0, lists:0
pt_BR 7. start:501 paragraphs:1, tables:0, lists:0
en 7.1. start:512 paragraphs:0, tables:1, lists:0
pt_BR 7.1. start:504 paragraphs:0, tables:1, lists:0
en 7.2. start:519 paragraphs:1, tables:1, lists:0
pt_BR 7.2. start:512 paragraphs:0, tables:1, lists:0
en 7.3. start:527 paragraphs:0, tables:1, lists:0
pt_BR 7.3. start:519 paragraphs:0, tables:1, lists:0
en 7.4. start:533 paragraphs:0, tables:1, lists:0
pt_BR 7.4. start:525 paragraphs:0, tables:1, lists:0
en 8. start:540 paragraphs:0, tables:0, lists:0
pt_BR 8. start:532 paragraphs:0, tables:0, lists:0
en 8.1. start:542 paragraphs:1, tables:0, lists:0
pt_BR 8.1. start:534 paragraphs:1, tables:0, lists:0
en 8.1.1. start:549 paragraphs:10, tables:0, lists:0
pt_BR 8.1.1. start:541 paragraphs:10, tables:0, lists:0
en 8.1.2. start:591 paragraphs:5, tables:0, lists:0
pt_BR 8.1.2. start:584 paragraphs:5, tables:0, lists:0
en 8.1.3. start:607 paragraphs:17, tables:0, lists:0
pt_BR 8.1.3. start:600 paragraphs:19, tables:0, lists:0
en 8.1.4. start:677 paragraphs:1, tables:1, lists:0
pt_BR 8.1.4. start:673 paragraphs:1, tables:1, lists:0
en 8.1.5. start:687 paragraphs:17, tables:0, lists:0
pt_BR 8.1.5. start:684 paragraphs:18, tables:0, lists:0
en 8.1.6. start:748 paragraphs:14, tables:0, lists:0
pt_BR 8.1.6. start:746 paragraphs:12, tables:0, lists:0
en 8.1.7. start:793 paragraphs:8, tables:0, lists:0
pt_BR 8.1.7. start:785 paragraphs:8, tables:0, lists:0
en 8.1.8. start:821 paragraphs:7, tables:0, lists:0
pt_BR 8.1.8. start:814 paragraphs:7, tables:0, lists:0
en 8.1.9. start:843 paragraphs:14, tables:0, lists:1
pt_BR 8.1.9. start:836 paragraphs:13, tables:0, lists:0
en 8.1.10. start:893 paragraphs:6, tables:0, lists:0
pt_BR 8.1.10. start:885 paragraphs:6, tables:0, lists:0
en 8.1.11. start:924 paragraphs:12, tables:0, lists:0
pt_BR 8.1.11. start:915 paragraphs:12, tables:0, lists:0
en 8.1.12. start:963 paragraphs:6, tables:0, lists:1
pt_BR 8.1.12. start:955 paragraphs:6, tables:0, lists:1
en 8.1.13. start:998 paragraphs:5, tables:0, lists:1
