# Structural comparison of pt_BR/userGuide.t2t against pt_BR/userGuide-newRevisions/12465/userGuide.t2t
en 9.1.12. start:1192 paragraphs:8, tables:0, lists:2
en 9.1.13. start:1246 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1280 paragraphs:6, tables:0, lists:1
en 9.1.15. start:1309 paragraphs:6, tables:0, lists:0
en 9.2. start:1329 paragraphs:3, tables:1, lists:0
en 9.3. start:1344 paragraphs:3, tables:0, lists:0
en 9.3.1. start:1355 paragraphs:4, tables:0, lists:1
en 9.3.2. start:1371 paragraphs:3, tables:0, lists:0
en 9.3.3. start:1383 paragraphs:1, tables:0, lists:0
en 9.3.4. start:1391 paragraphs:4, tables:0, lists:1
en 9.3.5. start:1404 paragraphs:2, tables:0, lists:0
en 9.3.6. start:1412 paragraphs:1, tables:0, lists:0
en 9.4. start:1417 paragraphs:3, tables:0, lists:0
pt_BR 10. start:631 paragraphs:1, tables:0, lists:0
en 10. start:1428 paragraphs:0, tables:0, lists:0
pt_BR 10.1. start:634 paragraphs:0, tables:0, lists:0
en 10.1. start:1430 paragraphs:2, tables:0, lists:0
pt_BR 10.1.1. start:636 paragraphs:2, tables:1, lists:0
pt_BR 10.1.2. start:650 paragraphs:1, tables:0, lists:0
pt_BR 10.1.2.1. start:657 paragraphs:1, tables:0, lists:0
pt_BR 10.1.3. start:663 paragraphs:1, tables:0, lists:0
pt_BR 10.2. start:669 paragraphs:0, tables:0, lists:0
en 10.2. start:1436 paragraphs:4, tables:0, lists:0
pt_BR 10.2.1. start:671 paragraphs:2, tables:1, lists:0
pt_BR 10.2.2. start:685 paragraphs:4, tables:1, lists:1
pt_BR 10.3. start:725 paragraphs:0, tables:1, lists:0
en 10.3. start:1447 paragraphs:10, tables:0, lists:0
pt_BR 10.4. start:732 paragraphs:0, tables:1, lists:0
en 10.4. start:1489 paragraphs:1, tables:0, lists:0
pt_BR 10.5. start:738 paragraphs:0, tables:1, lists:0
en 10.5. start:1493 paragraphs:1, tables:0, lists:0
pt_BR 10.6. start:746 paragraphs:1, tables:1, lists:0
pt_BR 10.7. start:753 paragraphs:3, tables:0, lists:0
pt_BR 10.7.1. start:767 paragraphs:1, tables:0, lists:0
pt_BR 10.7.2. start:775 paragraphs:3, tables:0, lists:1
pt_BR 11. start:789 paragraphs:0, tables:0, lists:0
en 11. start:1496 paragraphs:1, tables:0, lists:0
pt_BR 11.1. start:791 paragraphs:2, tables:0, lists:0
en 11.1. start:1500 paragraphs:3, tables:0, lists:0
pt_BR 11.1.1. start:801 paragraphs:11, tables:0, lists:0
pt_BR 11.1.2. start:847 paragraphs:29, tables:1, lists:1
pt_BR 11.1.3. start:956 paragraphs:18, tables:0, lists:0
pt_BR 11.1.4. start:1019 paragraphs:16, tables:0, lists:0
pt_BR 11.1.5. start:1073 paragraphs:8, tables:0, lists:0
pt_BR 11.1.6. start:1102 paragraphs:8, tables:0, lists:0
pt_BR 11.1.7. start:1126 paragraphs:13, tables:0, lists:0
pt_BR 11.1.8. start:1175 paragraphs:6, tables:0, lists:0
pt_BR 11.1.9. start:1205 paragraphs:13, tables:0, lists:0
pt_BR 11.1.10. start:1252 paragraphs:7, tables:0, lists:1
pt_BR 11.1.11. start:1297 paragraphs:8, tables:0, lists:1
pt_BR 11.1.12. start:1332 paragraphs:7, tables:0, lists:0
pt_BR 11.1.13. start:1362 paragraphs:6, tables:0, lists:0
pt_BR 11.2. start:1382 paragraphs:5, tables:1, lists:0
en 11.2. start:1510 paragraphs:2, tables:0, lists:0
pt_BR 11.2.1. start:1408 paragraphs:4, tables:0, lists:1
pt_BR 11.2.2. start:1424 paragraphs:3, tables:0, lists:0
pt_BR 11.2.3. start:1436 paragraphs:5, tables:0, lists:1
pt_BR 11.2.4. start:1458 paragraphs:2, tables:0, lists:0
pt_BR 11.2.5. start:1466 paragraphs:1, tables:0, lists:0
